id,titulo,precio,link,imagen,método,capacidad,ram,color,timestamp
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra Galaxy Ai 6.8 pulgadas 12 GB RAM 256 GB Titanio Violeta,$4.200.000,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-galaxy-ai-68-pulgadas-12-gb-ram-256-gb-titanio-violeta/p/MCO29907046#polycard_client=search-nordic&searchVariation=MCO29907046&position=38&search_layout=stack&type=product&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b&wid=&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_634210-MLU74091957382_012024-V.webp,BeautifulSoup,256GB,12GB,Violeta,2025-06-15T00:41:45.887698
Samsung_Ga_12GB_512GB,Samsung Galaxy S24 Ultra 5G Dual SIM 512 GB titanium gray 12 GB RAM,$6.999.900,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-512-gb-titanium-gray-12-gb-ram/p/MCO29893931#polycard_client=search-nordic&searchVariation=MCO29893931&position=4&search_layout=stack&type=product&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1&wid=MCO1452157273&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_937455-MLA74439150067_022024-V.webp,Scrapy,512GB,12GB,Gris,2025-06-15T00:41:47.693295
Samsung_Ga_12GB_512GB,Samsung Galaxy S24 Ultra 5G Dual SIM 512 GB titanium gray 12 GB RAM,$6.999.900,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-512-gb-titanium-gray-12-gb-ram/p/MCO29893931#polycard_client=search-nordic&searchVariation=MCO29893931&position=4&search_layout=stack&type=product&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1&wid=MCO1452157273&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_937455-MLA74439150067_022024-V.webp,Scrapy,512GB,12GB,Gris,2025-06-15T00:41:47.693972
Samsung_Ga_12GB_512GB,Samsung Galaxy S24 Ultra 5G Dual SIM 512 GB titanium violet 12 GB RAM,$4.095.900,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-512-gb-titanium-violet-12-gb-ram/p/MCO29893911#polycard_client=search-nordic&searchVariation=MCO29893911&position=5&search_layout=stack&type=product&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1&wid=MCO2887633424&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_876756-MLA74196675597_012024-V.webp,Scrapy,512GB,12GB,Violeta,2025-06-15T00:41:47.694735
Samsung_Ga_12GB_512GB,Samsung Galaxy S24 Ultra 5G Dual SIM 512 GB titanium violet 12 GB RAM,$4.095.900,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-512-gb-titanium-violet-12-gb-ram/p/MCO29893911#polycard_client=search-nordic&searchVariation=MCO29893911&position=5&search_layout=stack&type=product&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1&wid=MCO2887633424&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_876756-MLA74196675597_012024-V.webp,Scrapy,512GB,12GB,Violeta,2025-06-15T00:41:47.695370
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra 5G Dual SIM 256 GB titanium black 12 GB RAM,$5.422.500,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-black-12-gb-ram/p/MCO31493325#polycard_client=search-nordic&searchVariation=MCO31493325&position=6&search_layout=stack&type=product&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1&wid=MCO2893146594&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,12GB,Negro,2025-06-15T00:41:47.695882
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra 5G Dual SIM 256 GB titanium black 12 GB RAM,$5.422.500,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-black-12-gb-ram/p/MCO31493325#polycard_client=search-nordic&searchVariation=MCO31493325&position=6&search_layout=stack&type=product&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1&wid=MCO2893146594&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,12GB,Negro,2025-06-15T00:41:47.696411
Samsung_Ga_8GB_256GB,Samsung Galaxy S24 Ultra 5G Dual SIM 256 GB titanium gray 8 GB RAM,$6.589.000,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-gray-8-gb-ram/p/MCO29893924#polycard_client=search-nordic&searchVariation=MCO29893924&position=7&search_layout=stack&type=product&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1&wid=MCO1452118841&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,8GB,Gris,2025-06-15T00:41:47.696917
Samsung_Ga_8GB_256GB,Samsung Galaxy S24 Ultra 5G Dual SIM 256 GB titanium gray 8 GB RAM,$6.589.000,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-gray-8-gb-ram/p/MCO29893924#polycard_client=search-nordic&searchVariation=MCO29893924&position=7&search_layout=stack&type=product&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1&wid=MCO1452118841&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,8GB,Gris,2025-06-15T00:41:47.697435
Celular_Sa_N/A_256GB,Celular Samsung Galaxy S24 Ultra 5g 256gb Lavanda,$6.899.920,https://articulo.mercadolibre.com.co/MCO-1382435825-celular-samsung-galaxy-s24-ultra-5g-256gb-lavanda-_JM?searchVariation=179710940278#polycard_client=search-nordic&searchVariation=179710940278&position=7&search_layout=stack&type=item&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,,Lavanda,2025-06-15T00:41:47.697883
Celular_Sa_N/A_256GB,Celular Samsung Galaxy S24 Ultra 5g 256gb Lavanda,$6.899.920,https://articulo.mercadolibre.com.co/MCO-1382435825-celular-samsung-galaxy-s24-ultra-5g-256gb-lavanda-_JM?searchVariation=179710940278#polycard_client=search-nordic&searchVariation=179710940278&position=7&search_layout=stack&type=item&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,,Lavanda,2025-06-15T00:41:47.698331
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra Titanium Violet 256 Gb Grado A,$3.489.000,https://articulo.mercadolibre.com.co/MCO-2890387536-samsung-galaxy-s24-ultra-titanium-violet-256-gb-grado-a-_JM?searchVariation=183850943012#polycard_client=search-nordic&searchVariation=183850943012&position=8&search_layout=stack&type=item&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,,Violeta,2025-06-15T00:41:47.698728
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra Titanium Violet 256 Gb Grado A,$3.489.000,https://articulo.mercadolibre.com.co/MCO-2890387536-samsung-galaxy-s24-ultra-titanium-violet-256-gb-grado-a-_JM?searchVariation=183850943012#polycard_client=search-nordic&searchVariation=183850943012&position=8&search_layout=stack&type=item&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,,Violeta,2025-06-15T00:41:47.699120
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra 5g Dual Sim 256 Gb Titanium Black,$3.719.900,https://articulo.mercadolibre.com.co/MCO-2899810268-samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-black-_JM?searchVariation=188397667183#polycard_client=search-nordic&searchVariation=188397667183&position=9&search_layout=stack&type=item&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,,Negro,2025-06-15T00:41:47.699538
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra 5g Dual Sim 256 Gb Titanium Black,$3.719.900,https://articulo.mercadolibre.com.co/MCO-2899810268-samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-black-_JM?searchVariation=188397667183#polycard_client=search-nordic&searchVariation=188397667183&position=9&search_layout=stack&type=item&tracking_id=45eeec15-4045-4c97-aaba-a3e54d066bc1,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Scrapy,256GB,,Negro,2025-06-15T00:41:47.699921
